comparison,forward_speedup_median,forward_speedup_range,backward_speedup_median,backward_speedup_range,train_speedup_median,train_speedup_range
separate_rht_then_te,1.054,1.053-1.059,1.020,1.009-1.021,1.027,1.015-1.034
plain_te_block_fp8,0.940,0.932-0.945,NA,NA,0.943,0.943-0.953
