dtype,size,supported,correctness_max_error,ours_ms,arthur_ms,speedup_vs_arthur
float16,256,true,0.001953125,1.4282464599609375,2.592265319824219,1.8149985961772435
float16,512,true,0.00390625,1.415494384765625,1.846746826171875,1.3046655967325904
float16,1024,true,0.00390625,1.417869873046875,1.4083984375,0.9933199543012211
float16,2048,true,0.00390625,1.4221319580078124,1.41567138671875,0.9954571224894541
float16,4096,true,0.00390625,1.4261898803710937,1.5775254821777345,1.1061118185520034
float16,8192,true,0.00390625,1.426121826171875,1.4459535217285155,1.0139060318639639
float16,16384,true,0.00390625,1.4384072875976563,1.412215576171875,0.981791171630168
float16,32768,true,0.005859375,1.4262461853027344,1.8213148498535157,1.2769989281106642
bfloat16,256,true,0.015625,1.4284182739257814,2.5765557861328126,1.803782430654263
bfloat16,512,true,0.03125,1.4154830932617188,1.8426322937011719,1.3017691998391636
bfloat16,1024,true,0.03125,1.417596435546875,1.4096160888671876,0.9943705087854507
bfloat16,2048,true,0.03125,1.4199871826171875,1.4162178039550781,0.9973454840239037
bfloat16,4096,true,0.03125,1.427984161376953,1.6580459594726562,1.1611094886891904
bfloat16,8192,true,0.03125,1.4322001647949218,1.4394491577148438,1.0050614384065233
bfloat16,16384,true,0.03125,1.4328370666503907,1.4164546203613282,0.988566427634818
bfloat16,32768,true,0.046875,1.4270669555664062,1.9418348693847656,1.3607174224099716
