step,bf16,block_fp8,dynamic_rht_block_fp8
1,0.007097657769918442,0.00771732721477747,0.007073109969496727
2,0.0071050310507416725,0.008025860413908958,0.007677055895328522
3,0.0066625867038965225,0.007802011910825968,0.007395653985440731
4,0.006463017780333757,0.0076298583298921585,0.007366187870502472
5,0.006168850697577,0.007409763056784868,0.007069616578519344
6,0.006135144736617804,0.007389632984995842,0.007070902734994888
7,0.0058524878695607185,0.007120508700609207,0.006894892081618309
8,0.0057405284605920315,0.00700371153652668,0.006859538145363331
9,0.0024107194039970636,0.0036626802757382393,0.00346351764164865
10,0.0028412621468305588,0.004036487080156803,0.003965405281633139
11,0.00296201603487134,0.004147997125983238,0.003984769806265831
12,0.0030411677435040474,0.004234901629388332,0.004142977762967348
13,0.0030600386671721935,0.004260541871190071,0.00412576412782073
14,0.003103082301095128,0.004324490204453468,0.00416930578649044
15,0.003049171529710293,0.004270975477993488,0.004138859920203686
16,0.003048816230148077,0.004204614087939262,0.0041399491019546986
17,0.0015435703098773956,0.002788574667647481,0.0027048501651734114
18,0.001703087706118822,0.0029283217154443264,0.0028816370759159327
19,0.001736976788379252,0.003005231963470578,0.0028833160176873207
20,0.0017481972463428974,0.0030109183862805367,0.00291864899918437
21,0.001758175902068615,0.002973954426124692,0.0029099779203534126
22,0.0017684054328128695,0.0030399335082620382,0.0029193381778895855
23,0.0017353338189423084,0.0029460270889103413,0.0028730640187859535
24,0.0017426175763830543,0.002934251446276903,0.002876808401197195
25,0.0011344861704856157,0.0023574605584144592,0.002311891410499811
26,0.0011972365900874138,0.00241749151609838,0.002407730557024479
27,0.0012024615425616503,0.002406423445791006,0.0023552498314529657
28,0.0011862192768603563,0.0024077417328953743,0.0023570251651108265
29,0.0011855002958327532,0.002376318909227848,0.002356707351282239
30,0.001190695445984602,0.0024431291967630386,0.002361689228564501
31,0.0011545699089765549,0.0023599169217050076,0.0022766627371311188
32,0.001150654163211584,0.0023195715621113777,0.0022817577701061964
33,0.0008891705074347556,0.0021110617090016603,0.0020567146129906178
34,0.0009132346604019403,0.0021331452298909426,0.002108913380652666
35,0.0009013803210109472,0.002109148306772113,0.0020463624969124794
36,0.000882526277564466,0.0020779981277883053,0.0020514316856861115
37,0.0008777386392466724,0.0020376474130898714,0.0020297334995120764
38,0.0008795459289103746,0.0021349810995161533,0.002041806234046817
39,0.0008520843693986535,0.002038433216512203,0.002003197558224201
40,0.000840678927488625,0.002017770428210497,0.001980830915272236
41,0.0007202650886029005,0.0019028146052733064,0.001875641057267785
42,0.0007282409351319075,0.001960880123078823,0.0019077361794188619
43,0.0007145648123696446,0.0018947008065879345,0.0018589140381664038
44,0.000698428659234196,0.001899526221677661,0.0018688389100134373
45,0.0006909347139298916,0.0018567650113254786,0.0018482954474166036
46,0.0006921234307810664,0.0019288165494799614,0.001889290171675384
47,0.0006742611294612288,0.001871005748398602,0.0018325543496757746
48,0.0006640588399022818,0.0018506702035665512,0.0018295939080417156
