step,dynamic_rht_block_fp8,dynamic_rht_block_fp8_fused_adamw
1,0.008589653298258781,0.008589653298258781
2,0.008827521465718746,0.008827521465718746
3,0.008421594277024269,0.008421594277024269
4,0.008357219398021698,0.008357219398021698
5,0.008154504001140594,0.008154001086950302
6,0.008238471113145351,0.008235881105065346
7,0.008074994198977947,0.008075335994362831
8,0.008138993754982948,0.008137871511280537
9,0.005922491662204266,0.005915388464927673
10,0.006489320192486048,0.006494556088000536
11,0.006393059156835079,0.006394004914909601
12,0.006532043684273958,0.0065293340012431145
13,0.0064342087134718895,0.006447002291679382
14,0.006543116644024849,0.006542280316352844
15,0.00654032826423645,0.0065527623519301414
16,0.0065078409388661385,0.006536426953971386
17,0.004849692806601524,0.004836580716073513
18,0.005273910239338875,0.005260559730231762
19,0.005209112074226141,0.005187917500734329
20,0.005259827710688114,0.005282084457576275
21,0.005247219931334257,0.0052424026653170586
22,0.005317753180861473,0.005305379629135132
23,0.005296017974615097,0.005286766216158867
24,0.0053302207961678505,0.0053478144109249115
25,0.004073772579431534,0.004089312627911568
26,0.004382135346531868,0.004372964147478342
27,0.004330914467573166,0.004327329806983471
28,0.004371911287307739,0.004388831555843353
29,0.0043733324855566025,0.004366966895759106
30,0.004407788626849651,0.0044318754225969315
31,0.004387035965919495,0.004394424147903919
32,0.004382696934044361,0.004394770599901676
33,0.0035374844446778297,0.003566363360732794
34,0.003719370113685727,0.0037319553084671497
35,0.0036879004910588264,0.003688796190544963
36,0.003722059540450573,0.0037213778123259544
37,0.003679106943309307,0.003683547955006361
38,0.003749899100512266,0.0037375858519226313
39,0.0036693336442112923,0.0036682169884443283
40,0.003718075342476368,0.0036781879607588053
41,0.0031277905218303204,0.0031300783157348633
42,0.0032520517706871033,0.00322672794573009
43,0.003184978850185871,0.003203796921297908
44,0.0032198161352425814,0.0032076560892164707
45,0.0032089021988213062,0.0031751624774187803
46,0.0032137578818947077,0.003226721892133355
47,0.003190588904544711,0.003202599473297596
48,0.0031758672557771206,0.003200462320819497
49,0.0027698951307684183,0.0027836221270263195
50,0.002878177911043167,0.002864286070689559
51,0.00283216405659914,0.002838009037077427
52,0.0028355265967547894,0.002850135788321495
53,0.002817094326019287,0.002826876938343048
54,0.002856092294678092,0.0028584846295416355
55,0.0028190964367240667,0.0028197159990668297
56,0.0028236100915819407,0.002838402520865202
57,0.002527251373976469,0.002516477834433317
58,0.0025871898978948593,0.002587570808827877
59,0.0025618658401072025,0.0025718307588249445
60,0.002567191841080785,0.00255125411786139
61,0.0025630942545831203,0.0025378488935530186
62,0.0025680516846477985,0.002561922650784254
63,0.002561489585787058,0.0025531919673085213
64,0.002574243815615773,0.0025475420989096165
65,0.0023257886059582233,0.002303069457411766
66,0.0023716064170002937,0.0023892782628536224
67,0.0023507135920226574,0.0023423577658832073
68,0.002357576275244355,0.0023539934772998095
69,0.0023718574084341526,0.002364550018683076
70,0.002396433614194393,0.002373199909925461
71,0.0023192353546619415,0.0023413156159222126
72,0.002348459791392088,0.0023373684380203485
73,0.002178253373131156,0.002178790280595422
74,0.0022333471570163965,0.0022027255035936832
75,0.002198892179876566,0.0021853800863027573
76,0.002205152064561844,0.0021862369030714035
77,0.0021772710606455803,0.0021801290567964315
78,0.002201654016971588,0.002212178660556674
79,0.0021609109826385975,0.002177800051867962
80,0.0021992078982293606,0.0021915994584560394
81,0.002062398474663496,0.0020518964156508446
82,0.0020816123578697443,0.0021150601096451283
83,0.00204283744096756,0.002043552231043577
84,0.0020722777117043734,0.002073216950520873
85,0.002069859765470028,0.0020623565651476383
86,0.002055258257314563,0.002073484007269144
87,0.002064045984297991,0.0020548496395349503
88,0.0020538978278636932,0.002065961016342044
89,0.0019835729617625475,0.0019732420332729816
90,0.0020052818581461906,0.002013087272644043
91,0.001966311363503337,0.001997048268094659
92,0.001970237586647272,0.0019834849517792463
93,0.0019784560427069664,0.001958716195076704
94,0.0020173462107777596,0.002004743553698063
95,0.0019566912669688463,0.0019685830920934677
96,0.0019815985579043627,0.0019826136995106936
97,0.0018963513430207968,0.0018880486022680998
98,0.0019477995811030269,0.0019386082421988249
99,0.001896764151751995,0.0018941732123494148
100,0.0019005120266228914,0.001896098954603076
101,0.0018921843729913235,0.001894466346129775
102,0.001948801102116704,0.0019264912698417902
103,0.0018989568343386054,0.0018855116795748472
104,0.0018933545798063278,0.0019145107362419367
105,0.0018235919997096062,0.0018373789498582482
106,0.0018736917991191149,0.0018681662622839212
107,0.0018431704957038164,0.0018458953127264977
108,0.0018739680526778102,0.0018651578575372696
109,0.0018510378431528807,0.0018569794483482838
110,0.001859025564044714,0.0018678336637094617
111,0.0018487885827198625,0.0018481103470548987
112,0.0018562593031674623,0.0018543914193287492
113,0.0017878774087876081,0.0017916160868480802
114,0.0018533875700086355,0.0018337252549827099
115,0.0018071129452437162,0.0018018994014710188
116,0.001806473359465599,0.0018171807751059532
117,0.0018155418802052736,0.0017929722089320421
118,0.0018448357004672289,0.0018500451697036624
119,0.0017963224090635777,0.0018002711003646255
120,0.0018466426990926266,0.0018174690194427967
